topic,s,regdate,regdate-display,msg.commander,msg.sender,msg.ceramic_state.h-position,msg.information.serial_no,msg.information.iotm_fw_ver,msg.information.machine_fw_ver,msg.information.machine_no,msg.ceramic_state.curr_pinpoint,msg.stomach_pad.curr-temperature,msg.ceramic_state.dest_pinpoint,msg.ceramic_state.elapsed_time,msg.ceramic_state.v-position,msg.sub_state.curr-temperature,msg.ext1_state.curr-temperature,msg.base_state.curr-temperature,msg.ceramic_state.curr-temperature,msg.ceramic_state.state,msg.sub_state.play,msg.sub_state.mode,msg.sub_state.force,msg.music.play,msg.music.music_no,msg.timesync,msg.command_no,msg.refresh,msg.alpha_state.curr-temperature,msg.alpha_state.temperature,msg.information.firmware_ver,msg.reply.commander,msg.reply.activated,msg.reply.command_no,msg.reply.power,msg.ext1_state.temperature,msg.sub_force,msg.ceramic_state.operation_time,msg.music.bluetooth_name,msg.sub_state.temperature,msg.ceramic_state.mode_index,msg.ceramic_state.mode_list,msg.base_state.power,msg.ceramic_state.spin-length,msg.sub_play,msg.ceramic_force,msg.stomach_pad.mode,msg.ceramic_state.force,msg.ceramic_state.play,msg.base_state.temperature,msg.ceramic_state.temperature,msg.sub_state.state,msg.stomach_pad.play,msg.stomach_pad.temperature,msg.stomach_pad.force,msg.music.source,msg.music.volume,msg.music.voice_guidance,msg.music.sourcelist,msg.mode_list,msg.mode_index,msg.ceramic_mode,msg.power,msg.ceramic_play,msg.stomach_play,msg.stomach_force,msg.sub_temperature,msg.alpha_temperature,msg.ext2_temperature,msg.ext1_temperature,msg.temperature,msg.stomach_temperature,msg.ceramic_temperature,msg.CCIP_PTL,msg.music_volume,msg.sub_mode,msg.music_select,"msg.music_play
"
1c9dc2654c8c,3,1641713189309.0,2022-01-09 16:26:29,324980.0,1c9dc2654c8c,3205.0, ,000.03.010,001.01.007.ra,1.0,14.0,,,,,,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc265537c,3,1641713190718.0,2022-01-09 16:26:30,328016.0,1c9dc265537c,605.0, ,000.03.010,001.01.007.ra,1.0,2.0,,,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc265d32c,3,1641713189811.0,2022-01-09 16:26:29,393016.0,1c9dc265d32c,, ,000.03.010,000.03.054.MA,1.0,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc265e094,3,1641713189824.0,2022-01-09 16:26:29,377344.0,1c9dc265e094,1156.0, ,000.03.010,000.03.054.MA,1.0,6.0,,,,263.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc265e0c8,3,1641713190319.0,2022-01-09 16:26:30,389531.0,1c9dc265e0c8,, ,000.03.010,000.01.006.va,1.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc265e4ec,3,1641713562038.0,2022-01-09 16:32:42,389585.0,1c9dc265e4ec,1923.0, ,000.03.010,000.03.059.SA,1.0,9.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2660178,3,1641713189823.0,2022-01-09 16:26:29,113443.0,1c9dc2660178,2202.0, ,000.03.010,000.03.055.RA,1.0,9.0,,,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2660ec0,3,1641713191252.0,2022-01-09 16:26:31,350761.0,1c9dc2660ec0,3005.0, ,000.03.010,000.03.059.SA,1.0,,,,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41512c,3,1641713189321.0,2022-01-09 16:26:29,352161.0,24d7eb41512c,1277.0, ,000.03.010,000.03.050.VA,1.0,6.0,,,2020.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb418fac,3,1641713189672.0,2022-01-09 16:26:29,340873.0,24d7eb418fac,432.0, ,000.03.010,000.03.054.MA,1.0,1.0,,1.0,3290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
